B2,B3,B4,B5,B6,B7,B8,B8A,lat,lon
929,1058,1010,960,1197,1295,1568,1254,16.5,80.6
1394,1334,1156,1144,1218,1296,1556,1222,16.5,80.6
692,854,906,1053,1083,1035,1432,1302,16.5,80.6
1290,1338,1264,1246,1548,1670,1936,1561,16.5,80.6
877,1168,1180,1108,1153,1245,1814,1489,16.5,80.6
2800,2884,2640,2674,2937,3099,3420,3026,16.5,80.6
1050,1164,1216,1238,1316,1458,1862,1476,16.5,80.6
1064,1440,1478,1682,1947,2154,2464,2173,16.5,80.6
1010,1214,1320,1341,1466,1618,2120,1575,16.5,80.6
1004,1328,1344,1283,1445,1651,2152,1599,16.5,80.6
1202,1454,1464,1456,1693,1873,2388,1910,16.5,80.6
1224,1714,1596,1380,1504,1761,2474,1754,16.5,80.6
1224,1490,1542,1381,1656,1893,2484,1928,16.5,80.6
1346,1498,1592,1337,1465,1726,2426,1677,16.5,80.6
1206,1392,1548,1436,1535,1816,2542,2027,16.5,80.6
1080,1438,1448,1623,1678,1767,2176,1791,16.5,80.6
899,1036,999,989,1300,1313,1772,1377,16.5,80.6
1076,1210,1142,1182,1520,1676,2110,1667,16.5,80.6
684,903,890,920,1012,1041,1592,1210,16.5,80.6
904,1050,946,1106,1045,1161,1478,1279,16.5,80.6
756,876,903,937,979,1183,1564,1259,16.5,80.6
850,922,912,855,1156,1159,1544,1178,16.5,80.6
910,974,942,924,1054,1140,1448,1072,16.5,80.6
919,1160,1124,1259,1326,1428,1866,1553,16.5,80.6
988,1090,1052,1008,1194,1304,1776,1276,16.5,80.6
849,1060,1074,983,1084,1262,1706,1355,16.5,80.6
1758,2028,2136,2224,2471,2666,2336,2757,16.5,80.6
949,1096,1162,1123,1317,1375,1920,1390,16.5,80.6
919,1308,1324,1356,1566,1720,2088,1888,16.5,80.6
979,1316,1444,1205,1565,1841,2410,1978,16.5,80.6
1112,1412,1454,1314,1430,1621,2454,1814,16.5,80.6
1146,1454,1586,1475,1690,1908,2498,2054,16.5,80.6
1252,1402,1390,1302,1776,1918,2566,1930,16.5,80.6
1168,1542,1498,1423,1836,2173,2654,2136,16.5,80.6
1272,1544,1646,1435,1932,2285,2808,2349,16.5,80.6
906,1138,1058,1175,1532,1807,2564,1948,16.5,80.6
805,1120,982,972,1472,1816,2060,1670,16.5,80.6
838,1238,1084,1113,1597,1697,2102,1785,16.5,80.6
3248,3356,3632,4218,4548,4658,3252,4654,16.5,80.6
874,1068,1074,1147,1564,1575,2164,1651,16.5,80.6
846,969,905,1017,1394,1576,1928,1527,16.5,80.6
891,1012,930,1038,1500,1596,1998,1716,16.5,80.6
726,804,764,931,1233,1319,1548,1391,16.5,80.6
1000,1002,916,1018,1344,1314,1870,1399,16.5,80.6
929,1148,1220,1635,2295,2560,2754,2777,17.2,78.4
807,1036,1032,1384,2290,2540,2780,2786,17.2,78.4
993,1268,1280,1730,2365,2585,2802,2795,17.2,78.4
